name,team,region,rank,rankValue,op.gg
Bobthebuilder223,UCR C ONE,South-west | 2,NOT INPUT,-1,https://na.op.gg/summoner/userName=Bobthebuilder223
180cm,UCR C ONE,South-west | 2,Silver 1,12,https://na.op.gg/summoner/userName=180cm
Kant Kite,UCR C ONE,South-west | 2,Gold 2,15,https://na.op.gg/summoner/userName=Kant Kite
Shybe,UCR TEAM WASHED UP,South-west | 1,Gold 2,15,https://na.op.gg/summoner/userName=Shybe
AZlR,UCR C ONE,South-west | 2,Gold 3,14,https://na.op.gg/summoner/userName=AZlR
5DemandsNot1Less,UCR C ONE,South-west | 2,Gold 1,16,https://na.op.gg/summoner/userName=5DemandsNot1Less
JJoon,UCR C ONE,South-west | 2,Gold 2,15,https://na.op.gg/summoner/userName=JJoon
Dakishimeru,UCR C ONE,South-west | 2,Gold 3,14,https://na.op.gg/summoner/userName=Dakishimeru
wynntastic,UCR C ONE,South-west | 2,Gold 1,16,https://na.op.gg/summoner/userName=wynntastic
Mrbenjamin69,UHM Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=Mrbenjamin69
Kuìro,UHM Gold,South-west | 2,Gold 2,15,https://na.op.gg/summoner/userName=Kuìro
thirtiethspark5,UHM Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=thirtiethspark5
Aureleei,UHM Gold,South-west | 2,Gold 3,14,https://na.op.gg/summoner/userName=Aureleei
cGxOqSean,UHM Gold,South-west | 2,Silver 1,12,https://na.op.gg/summoner/userName=cGxOqSean
Ryzae,UHM Gold,South-west | 2,NOT INPUT,-1,https://na.op.gg/summoner/userName=Ryzae
misticalhearts,UHM Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=misticalhearts
Poobin,UHM Gold,South-west | 2,Gold 2,15,https://na.op.gg/summoner/userName=Poobin
Seratoh,UHM Gold,South-west | 2,Silver 1,12,https://na.op.gg/summoner/userName=Seratoh
Magicgateway,UHM Gold,South-west | 2,Silver 2,11,https://na.op.gg/summoner/userName=Magicgateway
Socheatha,UHM Gold,South-west | 2,Silver 1,12,https://na.op.gg/summoner/userName=Socheatha
kuroboo22,UCD Aggie Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=kuroboo22
Kunjie,UCD Aggie Gold,South-west | 2,Gold 2,15,https://na.op.gg/summoner/userName=Kunjie
Nightluna,UCD Aggie Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=Nightluna
La Ruche7,UCD Aggie Gold,South-west | 2,Silver 1,12,https://na.op.gg/summoner/userName=La Ruche7
Pseudonomous,UCD Aggie Gold,South-west | 2,Gold 1,16,https://na.op.gg/summoner/userName=Pseudonomous
The Infamous JMB,UCD Aggie Gold,South-west | 2,NOT INPUT,-1,https://na.op.gg/summoner/userName=The Infamous JMB
